wavelength (nm),fluorescence (arb. units)
894.824,1719.915
894.984,1794.195
895.144,1846.005
895.304,1826.76
895.464,1814.52
895.624,1830.645
895.784,1863.96
895.944,1878.675
896.104,1863.12
896.264,1873.275
896.424,1841.655
896.584,1832.925
896.744,1910.865
896.904,2001.345
897.064,2067.705
897.224,2057.64
897.384,2044.2
897.544,2066.22
897.704,2045.73
897.864,2065.2
898.024,2098.035
898.184,2093.265
898.344,2048.925
898.504,2080.59
898.664,2155.845
898.824,2275.68
898.984,2358.42
899.144,2430.195
899.304,2497.425
899.464,2562.75
899.624,2579.7
899.784,2655.615
899.944,2760.39
900.104,2841.6
900.264,2817.03
900.424,2786.37
900.584,2894.31
900.743,2910.435
900.903,2789.46
901.063,2711.28
901.223,2729.475
901.383,2885.37
901.543,2893.23
901.703,2856.375
901.863,2911.08
902.023,3079.47
902.183,3214.23
902.343,3280.17
902.503,3317.7
902.663,3411.525
902.823,3428.1
902.983,3468.195
903.142,3503.28
903.302,3580.695
903.462,3560.445
903.622,3541.86
903.782,3588.78
903.942,3575.19
904.102,3578.895
904.262,3528.18
904.422,3527.085
904.582,3609.015
904.741,3701.46
904.901,3760.2
905.061,3805.71
905.221,3785.535
905.381,3759.135
905.541,3792.24
905.701,3899.625
905.861,4020.81
906.02,4031.25
906.18,4014.015
906.34,4070.58
906.5,4169.76
906.66,4222.605
906.82,4235.325
906.98,4189.365
907.14,4299.54
907.299,4307.91
907.459,4301.865
907.619,4331.475
907.779,4385.31
907.939,4334.82
908.099,4382.055
908.258,4414.605
908.418,4418.4
908.578,4412.475
908.738,4411.47
908.898,4524.63
909.058,4748.16
909.217,4733.46
909.377,4835.415
909.537,4846.89
909.697,4962
909.857,5029.635
910.016,5127.195
910.176,5215.875
910.336,5209.995
910.496,5154.045
910.656,4994.94
910.816,4977.93
910.975,5071.815
911.135,5092.395
911.295,5086.44
911.455,5168.55
911.614,5229.54
911.774,5221.02
911.934,5308.02
912.094,5371.62
912.254,5479.95
912.413,5265.105
912.573,5189.61
912.733,5273.775
912.893,5482.125
913.052,5555.01
913.212,5551.485
913.372,5700.87
913.532,5915.535
913.691,5963.4
913.851,5916.885
914.011,6018.21
914.171,6101.22
914.331,5961.615
914.49,6101.505
914.65,6169.47
914.81,6226.755
914.969,6148.695
915.129,6043.44
915.289,5926.92
915.449,5952.945
915.608,5871.495
915.768,5914.335
915.928,5907.345
916.088,6042.375
916.247,6199.2
916.407,6415.845
916.567,6698.355
916.726,7149.345
916.886,7356.39
917.046,7402.005
917.206,7380.24
917.365,7276.14
917.525,7398.27
917.685,7552.05
917.844,7691.37
918.004,7864.125
918.164,7950.435
918.323,7760.43
918.483,7795.275
918.643,7837.2
918.802,7828.14
918.962,7909.965
919.122,8133.495
919.281,8274.18
919.441,8344.425
919.601,8413.77
919.761,8663.46
919.92,8652.99
920.08,8662.035
920.239,8555.37
920.399,8823.555
920.559,8849.88
920.718,9020.01
920.878,8976.135
921.038,9076.995
921.197,9052.2
921.357,9204.69
921.517,9330.84
921.676,9732.6
921.836,10052.4
921.996,10361.22
922.155,10294.53
922.315,9980.145
922.474,9869.115
922.634,10042.02
922.794,10125.18
922.953,10299.885
923.113,10184.265
923.273,10088.985
923.432,10281.18
923.592,10634.01
923.751,11055.675
923.911,11395.26
924.071,11597.55
924.23,11815.47
924.39,12081.705
924.549,12210.375
924.709,11900.07
924.869,11943.465
925.028,11976.165
925.188,11909.7
925.347,11799.84
925.507,11995.98
925.666,12011.22
925.826,11953.215
925.986,11959.725
926.145,12598.02
926.305,13199.91
926.464,13570.785
926.624,13492.29
926.783,13502.415
926.943,13441.38
927.103,13537.11
927.262,13419.315
927.422,13595.58
927.581,13687.17
927.741,13888.305
927.9,13619.07
928.06,13641.99
928.219,13470.78
928.379,13280.97
928.539,12879.12
